Terminal log file
Date: 2016-06-13 - 09:37:43
-----------------------------------------------
MPL115A1_Pressure;BMP180_Pressure;BMP180_Temperature
971218;977890;25036
970923;977967;25108
971119;978004;25141
970799;977976;25145
970908;977947;25149
970980;977982;25163
970796;977966;25176
970873;977943;25185
971010;977969;25192
970791;977969;25195
970960;977985;25196
970905;977961;25198
970990;977955;25207
970831;977951;25211
970866;977944;25216
971531;977919;25224
971144;977894;25228
970955;977876;25230
971124;977872;25235
971303;977876;25237
971119;977865;25236
971104;977883;25241
971166;977922;25250
970900;977935;25256
971347;977920;25252
971039;977915;25248
971263;977947;25256
970940;977974;25259
971154;977983;25261
971079;978000;25266
971178;978008;25268
971104;978003;25269
971188;978009;25272
971069;978033;25280
971263;978037;25285
971213;978035;25283
971178;978035;25283
971203;978066;25284
971226;978049;25283
971208;978084;25286
971069;978071;25286
971149;978091;25291
971248;978107;25293
971372;978107;25293
971154;978112;25296
971258;978127;25296
971233;978147;25304
971263;978179;25306
971203;978213;25309
971203;978211;25308
971119;978236;25312
971375;978219;25313
971397;978213;25313
971146;978210;25314
971372;978220;25316
971233;978207;25317
971479;978219;25316
971456;978230;25316
971317;978228;25318
971307;978236;25320
971821;978284;25325
971501;978301;25329
971352;978327;25333
971342;978328;25336
971375;978348;25337
971526;978360;25340
971154;978374;25345
971451;978349;25345
971591;978377;25344
971318;978390;25347
971640;978408;25351
971372;978399;25347
971618;978422;25350
971898;978404;25347
971610;978416;25345
971506;978460;25350
971804;978437;25346
971273;978447;25349
971873;978472;25350
971690;978476;25354
971640;978479;25353
971551;978527;25363
971797;978542;25360
971248;978557;25357
971635;978600;25370
971675;978600;25370
971774;978616;25373
971933;978625;25375
971692;978605;25376
972146;978592;25375
971829;978622;25377
971958;978610;25373
972037;978625;25373
972117;978628;25371
971844;978644;25373
972199;978665;25375
971948;978681;25379
972196;978643;25377
972171;978688;25389
971819;978709;25388
972333;978691;25387
972092;978730;25385
971933;978732;25385
972256;978764;25385
971715;978794;25393
972050;978794;25397
972325;978810;25400
972017;978782;25397
972293;978801;25403
971933;978801;25397
972171;978791;25393
972037;978819;25389
972176;978838;25389
972022;978824;25389
972042;978839;25388
972015;978854;25391
972300;978879;25395
971903;978886;25396
972275;978898;25399
972082;978906;25397
972298;978930;25403
972459;978940;25410
972251;978942;25407
972360;978956;25411
972859;978964;25411
972405;978990;25411
972668;979016;25409
973020;978977;25402
972690;978998;25402
972251;979026;25404
972427;979011;25403
972598;979048;25402
972782;979052;25405
972486;979066;25401
972745;979067;25405
972700;979091;25405
972807;979141;25410
972673;979122;25413
972653;979150;25415
972462;979154;25418
972826;979154;25418
972434;979188;25421
972874;979180;25423
972879;979167;25421
972750;979187;25419
972668;979196;25420
973047;979220;25415
972668;979224;25418
972568;979229;25416
972519;979263;25419
972700;979345;25421
972995;979336;25420
972722;979375;25420
972715;979389;25418
972618;979414;25420
973171;979436;25420
973147;979417;25421
973065;979420;25421
972802;979423;25423
973199;979438;25424
973353;979422;25418
973591;979430;25412
972792;979429;25410
972884;979433;25407
972983;979448;25409
972951;979451;25404
973087;979461;25407
972963;979474;25409
972891;979493;25409
973037;979511;25412
973323;979523;25415
973112;979564;25417
972980;979554;25413
973184;979587;25415
973132;979601;25417
972956;979604;25416
973469;979615;25418
973353;979595;25414
973035;979579;25403
972978;979589;25398
972923;979611;25398
973221;979644;25401
973060;979648;25401
973157;979659;25397
973062;979667;25396
973613;979699;25401
973325;979701;25400
973167;979713;25400
973248;979712;25396
973608;979751;25401
973323;979796;25405
973219;979748;25403
973186;979775;25405
972978;979762;25406
973060;979790;25407
973248;979778;25404
972871;979811;25406
972814;979809;25401
973219;979793;25399
973139;979852;25402
973177;979872;25404
973248;979872;25402
973303;979885;25398
973477;979904;25400
973166;979905;25405
973539;979914;25417
973273;979931;25418
973718;979935;25413
972908;979944;25414
973407;979978;25420
973559;979983;25425
973675;979976;25423
973479;979975;25423
973348;979988;25421
973551;979969;25413
973052;979971;25410
973109;979997;25406
973586;980010;25407
973201;980036;25408
973497;980053;25410
973425;980062;25408
973765;980089;25408
973601;980076;25404
973477;980108;25404
973536;980114;25404
973871;980122;25405
973643;980152;25406
973901;980151;25402
973507;980195;25401
973536;980173;25397
973606;980168;25388
973437;980167;25384
973211;980177;25382
973432;980163;25381
973497;980191;25380
973234;980256;25381
973129;980242;25377
973519;980278;25375
973608;980287;25371
973551;980295;25365
973628;980317;25365
973554;980327;25367
973360;980338;25369
973596;980353;25365
973598;980351;25362
973306;980364;25365
973462;980348;25365
973234;980354;25360
973494;980359;25351
973464;980363;25346
973253;980373;25348
973678;980361;25343
973755;980371;25342
973551;980397;25342
973564;980420;25334
973807;980440;25330
974043;980451;25334
973648;980454;25338
