Terminal log file
Date: 2016-06-13 - 09:10:35
-----------------------------------------------
MPL115A1_Pressure;BMP180_Pressure;BMP180_Temperature
970161;977040;25045
970084;977117;25114
969848;977113;25141
970106;977097;25144
970104;977057;25145
970114;977051;25151
970355;977062;25157
970020;977054;25162
970027;977070;25167
970218;977061;25167
970094;977053;25169
970193;977079;25180
970012;977031;25179
970409;977049;25190
970313;977047;25193
970263;977042;25196
970648;977040;25202
970107;977040;25207
970330;977029;25205
970211;977033;25208
970250;977051;25218
970211;977047;25218
970211;977067;25214
970446;977070;25216
970392;977074;25221
970096;977075;25229
970097;977065;25232
970228;977051;25237
970223;977079;25243
970211;977036;25239
970176;977036;25242
970290;977040;25245
970320;977028;25242
970295;977067;25252
970228;977090;25255
970258;977086;25256
970362;977074;25250
970427;977099;25260
970315;977100;25258
970206;977113;25265
970208;977140;25270
970357;977110;25264
970258;977130;25274
970372;977122;25272
970571;977134;25275
970231;977147;25279
970432;977159;25282
970325;977164;25285
970307;977156;25286
970461;977156;25286
970533;977167;25291
970506;977163;25294
970511;977154;25293
970367;977193;25303
970479;977218;25308
970479;977225;25310
970313;977241;25314
970528;977230;25314
970469;977239;25318
970317;977245;25320
970456;977244;25320
970447;977253;25322
970375;977280;25327
970434;977286;25328
970449;977273;25323
970486;977282;25325
970585;977299;25327
970342;977303;25332
970313;977318;25338
970538;977322;25340
970501;977344;25345
970404;977337;25345
970479;977337;25345
970454;977342;25348
970432;977360;25354
970380;977357;25353
970504;977378;25361
970556;977379;25362
970717;977394;25370
970385;977396;25370
970556;977398;25371
970424;977395;25370
970481;977406;25373
970337;977412;25377
970509;977406;25376
970456;977401;25377
970446;977396;25374
970313;977421;25381
970449;977434;25384
970764;977447;25386
970439;977471;25394
970295;977474;25395
970427;977474;25394
970707;977474;25393
970295;977468;25396
970466;977468;25396
970315;977477;25401
970630;977492;25404
970456;977488;25406
970375;977490;25411
970585;977508;25416
970615;977474;25415
970404;977503;25416
970419;977489;25418
970449;977489;25421
970792;977517;25423
970528;977516;25420
970672;977516;25421
970759;977530;25421
970432;977536;25423
970605;977539;25425
970295;977540;25423
970635;977536;25421
970667;977548;25425
970499;977557;25427
970546;977557;25425
970521;977554;25427
970811;977570;25430
970739;977568;25428
970680;977574;25431
970975;977573;25432
970578;977592;25438
970970;977597;25438
970417;977616;25443
970662;977626;25447
970712;977618;25449
970717;977620;25450
970858;977621;25452
970625;977652;25456
970652;977652;25459
970712;977678;25464
971025;977691;25469
970724;977703;25472
970868;977681;25466
970960;977696;25470
970521;977710;25472
970707;977702;25471
971044;977709;25473
970868;977722;25478
970576;977718;25475
970938;977727;25478
971020;977730;25479
970516;977739;25484
971250;977737;25483
970913;977738;25482
971387;977748;25483
971050;977745;25485
970888;977739;25484
970804;977741;25487
971077;977744;25486
970861;977754;25488
970888;977759;25491
971362;977760;25489
971700;977759;25480
971121;977800;25467
971566;977786;25456
970901;977809;25463
971638;977796;25464
971399;977825;25466
971169;977828;25460
971097;977855;25463
971035;977838;25458
971536;977871;25462
971665;977863;25463
970868;977862;25459
971427;977876;25455
971536;977872;25448
971432;977859;25452
971375;977867;25454
971402;977869;25445
971586;977871;25443
971553;977870;25440
971747;977864;25430
971504;977866;25427
971633;977872;25427
971395;977898;25429
971501;977853;25428
971533;977866;25421
971682;977881;25419
971499;977917;25417
971255;977941;25416
971548;977970;25412
971685;977976;25410
971576;977977;25407
971417;977958;25406
971812;978003;25409
972027;978000;25405
971677;977992;25392
971809;978000;25388
971623;978047;25393
971437;978027;25389
971628;978044;25395
971943;978029;25391
971710;978046;25394
971598;978054;25392
971655;978056;25392
971305;978046;25388
971735;978025;25388
971494;978034;25390
971466;978038;25391
972025;978008;25386
971779;978059;25396
971462;978051;25388
971913;978071;25387
971702;978097;25382
971886;978111;25379
971541;978142;25376
972020;978162;25382
971541;978157;25381
971727;978150;25380
971886;978163;25373
971618;978182;25377
971481;978175;25376
971801;978182;25375
971804;978187;25373
971618;978197;25365
971727;978209;25367
971804;978224;25366
971834;978215;25359
971427;978213;25362
971749;978234;25370
971749;978234;25367
