Terminal log file
Date: 2016-06-13 - 09:33:32
-----------------------------------------------
MPL115A1_Pressure;BMP180_Pressure;BMP180_Temperature
974832;981536;23979
974619;981536;24033
974695;981560;24059
974661;981553;24067
974745;981539;24073
974919;981532;24073
974656;981535;24071
975078;981534;24073
974872;981546;24077
974760;981545;24079
974867;981538;24073
975048;981541;24072
974862;981557;24075
975145;981544;24064
974827;981471;24051
975095;981470;24042
975204;981447;24034
974775;981449;24031
974810;981427;24029
974745;981418;24028
974653;981414;24022
974633;981416;24020
974882;981452;24014
975214;981472;24002
974877;981436;23997
974681;981445;23998
974981;981421;23997
974763;981403;23994
975155;981393;23997
974976;981376;23998
974961;981385;24002
974611;981382;24001
974743;981341;23995
974899;981299;23994
974892;981258;23996
974519;981251;23999
974591;981237;24002
974363;981262;23996
974919;981243;23996
974522;981215;23992
974815;981217;23998
974514;981244;23998
974566;981230;23999
974638;981212;23997
974333;981234;24004
974626;981194;24002
974564;981181;24004
974356;981166;24009
974571;981176;24011
974144;981162;24009
974100;981175;24015
974601;981166;24018
974358;981138;24019
974172;981130;24019
974256;981096;24019
974326;981084;24018
974467;981133;24026
974378;981152;24027
974519;981156;24024
974010;981111;24024
974512;981125;24026
974353;981082;24023
974445;981018;24028
974167;980994;24023
974338;980969;24033
974363;980974;24039
973961;980924;24040
974229;980893;24041
974040;980869;24044
974204;980834;24043
974224;980841;24043
974308;980807;24046
973914;980799;24047
973933;980785;24049
973906;980785;24052
973995;980794;24051
974010;980785;24046
973747;980765;24047
974015;980749;24050
973991;980742;24049
973854;980764;24061
973911;980735;24062
973879;980713;24066
973978;980720;24068
973879;980688;24072
974040;980662;24069
973943;980644;24071
973986;980631;24072
973936;980623;24072
973775;980619;24075
973722;980620;24078
974298;980624;24087
973948;980626;24083
973986;980597;24083
973906;980593;24086
973802;980598;24095
973822;980574;24097
973988;980577;24100
973854;980512;24100
973745;980510;24109
973780;980513;24107
973698;980506;24113
973675;980475;24114
973914;980427;24109
973695;980438;24113
973703;980452;24116
973837;980431;24116
973802;980434;24115
973809;980463;24121
973834;980444;24125
973455;980443;24125
973904;980412;24125
973670;980419;24127
973700;980393;24131
973695;980354;24132
973646;980349;24141
973732;980330;24144
973993;980333;24150
973772;980309;24151
973700;980296;24153
973864;980294;24155
973750;980270;24158
973891;980240;24156
973750;980261;24158
973832;980277;24162
974010;980275;24159
973727;980268;24160
973866;980225;24160
973705;980203;24162
973693;980198;24164
973566;980158;24167
973536;980153;24169
973827;980136;24172
973723;980137;24172
973722;980164;24182
973670;980105;24177
973973;980093;24179
973675;980053;24173
973832;980053;24181
973665;980050;24185
973432;980049;24182
973616;980069;24188
973646;980053;24188
973775;980033;24193
973668;980039;24198
973668;979995;24198
973536;980031;24206
973725;980034;24208
973616;980004;24211
973484;979984;24211
973457;979971;24213
973298;979952;24215
973333;979935;24215
973670;979873;24215
973536;979860;24216
973807;979841;24217
973643;979844;24217
973807;979864;24222
973221;979873;24225
973380;979891;24231
973564;979912;24237
973432;979897;24235
973727;979894;24236
973591;979904;24241
973355;979896;24243
973648;979828;24241
973519;979876;24247
973328;979837;24247
973432;979808;24251
973298;979754;24252
973330;979745;24255
973246;979708;24255
973251;979654;24257
973514;979636;24261
973574;979641;24261
973593;979623;24264
973420;979608;24266
973335;979602;24266
973224;979595;24268
973646;979617;24277
973494;979583;24282
972928;979569;24281
973172;979566;24283
973154;979555;24290
972993;979529;24289
972673;979526;24292
973358;979516;24294
973603;979530;24300
973092;979539;24302
973445;979515;24306
972971;979500;24310
973514;979485;24308
973008;979511;24316
973119;979513;24321
973435;979489;24319
973010;979492;24320
973077;979452;24321
972990;979449;24327
973065;979464;24345
973201;979432;24343
973075;979432;24348
973102;979413;24352
972784;979400;24352
972630;979411;24361
972521;979380;24362
972896;979363;24363
972792;979331;24363
972703;979301;24364
972889;979295;24363
972752;979304;24366
972675;979292;24368
972534;979292;24371
972501;979296;24374
972407;979291;24378
972680;979275;24375
972705;979242;24373
972315;979245;24378
972764;979231;24379
972715;979219;24384
972549;979191;24389
972457;979185;24389
972268;979173;24399
972338;979136;24402
972223;979107;24400
972288;979103;24405
971903;979090;24409
972315;979072;24410
972102;979070;24413
972285;979086;24416
972660;979079;24416
972241;979080;24418
972072;979073;24418
972166;979047;24420
971883;979043;24423
972057;979034;24430
972169;979059;24440
972007;979037;24443
972122;979030;24443
971980;978976;24449
972062;978970;24448
972012;978957;24455
971690;978926;24461
971784;978921;24461
972065;978885;24461
971938;978906;24465
971630;978854;24466
972266;978826;24468
972174;978846;24470
971799;978831;24470
972248;978825;24474
972109;978826;24477
971868;978813;24481
972079;978784;24485
972055;978805;24489
971687;978799;24492
972119;978764;24495
971839;978764;24498
971945;978747;24500
971936;978741;24501
972030;978758;24509
971839;978736;24509
971811;978758;24516
971645;978697;24514
971523;978666;24518
971638;978684;24517
971608;978654;24521
971799;978691;24530
971814;978644;24528
971603;978609;24532
971821;978591;24534
972079;978576;24541
972013;978579;24543
971553;978532;24541
971739;978524;24544
971375;978526;24547
971504;978496;24547
971826;978485;24548
971608;978465;24552
971717;978470;24559
971506;978442;24558
971578;978444;24563
971523;978437;24561
971876;978459;24570
971479;978442;24572
971692;978427;24570
971663;978428;24576
971906;978414;24580
971323;978407;24584
971605;978425;24595
971712;978399;24597
971323;978358;24597
971744;978350;24602
971588;978323;24602
971561;978310;24607
971672;978316;24613
971722;978302;24618
971774;978288;24621
971772;978255;24619
971134;978260;24629
971380;978275;24630
970958;978275;24643
971243;978246;24645
971270;978240;24647
971298;978237;24649
971350;978232;24652
971380;978182;24649
971298;978183;24655
971300;978198;24659
971618;978179;24661
971514;978177;24662
971432;978154;24666
