Terminal log file
Date: 2016-06-13 - 08:51:10
-----------------------------------------------
MPL115A1_Pressure;BMP180_Pressure;BMP180_Temperature
974879;981904;22353
974859;981860;22411
974750;981859;22432
975043;981846;22445
974616;981862;22457
974705;981867;22464
974867;981866;22474
974914;981881;22487
974834;981855;22487
974882;981850;22497
974996;981835;22501
974782;981811;22503
974916;981824;22511
974760;981816;22513
974996;981824;22514
974730;981797;22517
974914;981763;22518
974785;981749;22526
974738;981744;22530
975001;981729;22534
974869;981740;22540
974626;981723;22539
974708;981707;22545
974758;981689;22545
974817;981684;22550
974631;981686;22552
974839;981675;22553
974790;981651;22553
974706;981672;22557
975001;981678;22561
974817;981689;22562
974979;981670;22562
975033;981668;22566
974974;981652;22565
974951;981613;22568
974733;981619;22575
975055;981606;22574
975058;981580;22579
974790;981572;22587
975003;981524;22588
974974;981515;22590
974897;981506;22593
974837;981501;22595
975006;981473;22595
974586;981475;22597
974897;981484;22602
974979;981470;22600
974817;981464;22600
974974;981454;22597
974820;981471;22598
974534;981456;22598
974745;981444;22603
974775;981453;22616
974904;981463;22624
974693;981433;22627
974822;981399;22626
974849;981369;22629
974795;981374;22638
975028;981352;22638
974867;981347;22638
974857;981347;22643
974842;981348;22643
974777;981355;22644
975033;981315;22644
974743;981321;22647
974772;981330;22646
974820;981328;22645
974872;981313;22641
974326;981320;22646
974534;981298;22644
974879;981290;22648
974907;981272;22656
974589;981249;22656
974693;981249;22665
974723;981244;22667
974542;981256;22673
974931;981233;22677
974467;981214;22677
974740;981214;22680
974519;981224;22685
974899;981207;22683
974308;981211;22679
974775;981175;22663
974907;981192;22659
974440;981166;22663
974698;981159;22671
974874;981169;22682
974641;981169;22684
974770;981171;22688
974830;981156;22688
974415;981156;22689
974879;981158;22684
974800;981143;22683
974621;981131;22686
974385;981124;22687
974393;981101;22692
974207;981088;22695
974564;981117;22698
974827;981097;22693
974569;981059;22688
974646;981101;22686
974539;981086;22684
974619;981074;22686
974775;981029;22688
974363;980972;22692
974365;980960;22696
974318;980963;22696
