Terminal log file
Date: 13-06-2016 - 16:47:37
-----------------------------------------------
MPL115A1_Pressure;BMP180_Pressure;BMP180_Temperature
0;972884;26475
0;972825;26469
0;972785;26450
0;972884;26475
0;972884;26475
0;972785;26450
0;972825;26469
0;972825;26462
0;972825;26469
0;972844;26469
0;972825;26462
0;972874;26475
0;972825;26469
0;972874;26475
0;972874;26475
0;972825;26469
0;972884;26475
0;972874;26481
0;972825;26469
0;972825;26469
0;972825;26469
0;972874;26475
0;972825;26462
0;972874;26475
0;972874;26481
0;972874;26475
0;972825;26469
0;972825;26469
0;972874;26475
0;972825;26469
0;972825;26469
0;972825;26462
0;972874;26475
0;972825;26469
0;972785;26450
0;972825;26469
0;972825;26469
0;972874;26481
0;972884;26475
0;972825;26469
0;972874;26475
0;972825;26469
0;972825;26469
0;972825;26469
0;972825;26469
0;972874;26475
0;972825;26469
0;972874;26475
0;972874;26475
0;972874;26475
0;972874;26475
0;972825;26469
0;972874;26475
0;972874;26475
0;972825;26462
0;972825;26469
0;972874;26475
0;972884;26475
0;972825;26469
0;972844;26469
0;972825;26469
0;972874;26475
0;972874;26475
0;972825;26469
0;972874;26475
0;972825;26469
0;972874;26475
0;972874;26475
0;972825;26469
0;972874;26475
0;972874;26475
0;972874;26475
0;972874;26475
0;972825;26469
0;972874;26475
0;972825;26462
0;972874;26475
0;972854;26469
0;972825;26469
0;972874;26475
0;972825;26462
0;972825;26469
0;972874;26475
0;972825;26469
0;972874;26475
0;972904;26475
0;972874;26475
0;972874;26475
0;972874;26462
0;972825;26469
0;972844;26469
0;972825;26462
0;972874;26475
0;972825;26469
0;972825;26469
0;972854;26469
0;972874;26475
0;972825;26469
0;972874;26475
0;972874;26475
0;972874;26475
0;972874;26475
0;972825;26469
0;972785;26450
0;972825;26469
0;972844;26469
0;972874;26475
0;972874;26475
0;972874;26475
0;972785;26450
0;972874;26475
0;972874;26475
0;972874;26475
0;972904;26494
0;972874;26475
0;972874;26475
0;972844;26469
0;972825;26469
0;972785;26450
0;972874;26475
0;972874;26475
0;972884;26475
0;972825;26462
0;972874;26475
0;972874;26475
0;972825;26469
0;972874;26475
0;972884;26475
0;972874;26475
0;972736;26469
0;972874;26475
0;972884;26475
0;972825;26469
0;972874;26475
0;972874;26475
0;972884;26475
0;972825;26469
0;972884;26475
0;972884;26475
0;972844;26469
0;972874;26481
0;972844;26469
0;972894;26462
0;972874;26475
0;972874;26481
0;972874;26475
0;972874;26481
0;972934;26481
0;972874;26475
0;972874;26481
0;972874;26475
0;972874;26475
0;972934;26475
0;972844;26462
